# stage 09   label CDM   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.13750872 conv 0.02203907 dm 0.84045221
# matter shot noise 3.05072516e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
1.515163917773019453e-01 1.300000000000000000e+01 3.126773209487958525e+02 2.711691315874468728e+03 5.229200262265871970e+02 5.192478553940907204e+02 5.001196881082197478e+02 9.076470004788174037e+02
2.567220547362764616e-01 3.300000000000000000e+01 1.117081837515908376e+02 1.076410778319452675e+03 1.887674547396022149e+02 1.875446261869354885e+02 1.811700749833456712e+02 3.261254732600836519e+02
3.651505290679538662e-01 7.900000000000000000e+01 6.131583289642913570e+01 7.369983259166787093e+02 1.118829832786190650e+02 1.111196473680162171e+02 1.071428843915822569e+02 1.996328779822398474e+02
4.739182469684554144e-01 1.170000000000000000e+02 2.885427728346624932e+01 4.095744393345519256e+02 5.493097649870755106e+01 5.454466874736420579e+01 5.253313545197620016e+01 9.779084957432239378e+01
5.848257382506321100e-01 2.050000000000000000e+02 1.983309361261726522e+01 2.795371711949439941e+02 3.755852006020040079e+01 3.729513818136783954e+01 3.592376249659526621e+01 6.659869652335915191e+01
6.891527207999575966e-01 2.350000000000000000e+02 1.728775168696373399e+01 2.595532730658564446e+02 3.356208707977439332e+01 3.332551601701445776e+01 3.209384620836409852e+01 6.005587808772480685e+01
7.962110149942879245e-01 3.690000000000000000e+02 1.111714950386952871e+01 1.984832713850117045e+02 2.270761287330239142e+01 2.254392973020065583e+01 2.169201837149155665e+01 4.051447205416793196e+01
9.037253231392656794e-01 4.330000000000000000e+02 9.169281072490736761e+00 1.795998497001912142e+02 1.950869965335762757e+01 1.936556975307814810e+01 1.862081246811988677e+01 3.520598027794707008e+01
1.012197955081368894e+00 5.850000000000000000e+02 7.392017106396441939e+00 1.563213130787400758e+02 1.624270766370954888e+01 1.612161650774213584e+01 1.549172956694039627e+01 2.947440143071584373e+01
1.119602274143112197e+00 6.790000000000000000e+02 5.939896500349775899e+00 1.416543758366050554e+02 1.366828097114528262e+01 1.356382520007043091e+01 1.302068846103299649e+01 2.480201938827665131e+01
1.225226751773826672e+00 8.130000000000000000e+02 5.118230760380566124e+00 1.283911255156150162e+02 1.200405958217124436e+01 1.191206290712279525e+01 1.143377910878794523e+01 2.176351932849426518e+01
1.332693320252414937e+00 9.850000000000000000e+02 4.344153483652767989e+00 1.220183005492613120e+02 1.072037820836266775e+01 1.063677696960151664e+01 1.020229906579239199e+01 1.951711069190562498e+01
1.442085419831981463e+00 1.183000000000000000e+03 3.544641735011078154e+00 1.042533429268703742e+02 8.856381169702300937e+00 8.787055500739221259e+00 8.426906779870686037e+00 1.597866076464114116e+01
1.548739498396934922e+00 1.269000000000000000e+03 3.292065373019366081e+00 1.052185680960706549e+02 8.563989190200819834e+00 8.496121955850947316e+00 8.143644592180594444e+00 1.549961964470222675e+01
1.654964458706200459e+00 1.537000000000000000e+03 2.827665511938885601e+00 1.003350586196344381e+02 7.722711908378578016e+00 7.661009265529360235e+00 7.340675070926454993e+00 1.396743057344927408e+01
1.761684072977645732e+00 1.653000000000000000e+03 2.548561307162174217e+00 9.197578875812503441e+01 6.997758481399437791e+00 6.941758493054035917e+00 6.651125859881284796e+00 1.261206197079521374e+01
1.868623895441072547e+00 1.963000000000000000e+03 2.317528399722946553e+00 8.699908935735471971e+01 6.466532914838272639e+00 6.414837880644878254e+00 6.146620790430298520e+00 1.161280549867817591e+01
