# stage 09   label FCT   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.08192983 conv 0.07761797 dm 0.84045221
# matter shot noise 3.08092773e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
1.515163917773019453e-01 1.300000000000000000e+01 2.518666509082691221e+02 8.746611457753925833e+02 5.215929881636915297e+02 5.193571455246845971e+02 5.076594726368248303e+02 4.688173139544152264e+02
2.567220547362764616e-01 3.300000000000000000e+01 8.915409482338075975e+01 3.209979698570958817e+02 1.884076637942316665e+02 1.876340388665880994e+02 1.835856443340159387e+02 1.683340950295643097e+02
3.651505290679538662e-01 7.900000000000000000e+01 5.023420138864058515e+01 1.954253257919315558e+02 1.117170095130317407e+02 1.112332635839742352e+02 1.087027616577597087e+02 9.848183116608278453e+01
4.739182469684554144e-01 1.170000000000000000e+02 2.392904030986567321e+01 9.782080332430952296e+01 5.488253478107237981e+01 5.463766606972301076e+01 5.335714243676761726e+01 4.782678992271295471e+01
5.848257382506321100e-01 2.050000000000000000e+02 1.634935987787154232e+01 6.708879338089489863e+01 3.757500351818880091e+01 3.740500436820449437e+01 3.651611789228189053e+01 3.267780945161268846e+01
6.891527207999575966e-01 2.350000000000000000e+02 1.440930955922905099e+01 6.043996182080898905e+01 3.362363070204314397e+01 3.346828488896139220e+01 3.265617527051397673e+01 2.912565121989480943e+01
7.962110149942879245e-01 3.690000000000000000e+02 9.330853456931267331e+00 4.191558149042511872e+01 2.277703796965322880e+01 2.266786961347572316e+01 2.209738530687378599e+01 1.944765868634534201e+01
9.037253231392656794e-01 4.330000000000000000e+02 7.857928196089062567e+00 3.650572296764399738e+01 1.962825196833130903e+01 1.953158696367320246e+01 1.902656604349509450e+01 1.664147863297793606e+01
1.012197955081368894e+00 5.850000000000000000e+02 6.392717147150817958e+00 3.081265267310225653e+01 1.637884142155774825e+01 1.629510512252440080e+01 1.585779127962292279e+01 1.376932660379426743e+01
1.119602274143112197e+00 6.790000000000000000e+02 5.192385309158660256e+00 2.644470745143556556e+01 1.381452139321089412e+01 1.374187952638843235e+01 1.336264400113767792e+01 1.147792422842313442e+01
1.225226751773826672e+00 8.130000000000000000e+02 4.507818558578407853e+00 2.346031671946149189e+01 1.216919392056806259e+01 1.210383559491483219e+01 1.176272464672059037e+01 1.005070804765849957e+01
1.332693320252414937e+00 9.850000000000000000e+02 3.910892452166014444e+00 2.128527418765807866e+01 1.089478157755567089e+01 1.083415730212067984e+01 1.051788437929645426e+01 8.904537683304127427e+00
1.442085419831981463e+00 1.183000000000000000e+03 3.195358202620811827e+00 1.775361072164452381e+01 9.027398720055149539e+00 8.975766728862982546e+00 8.706541791004957176e+00 7.329745243150575185e+00
1.548739498396934922e+00 1.269000000000000000e+03 3.006447793045699424e+00 1.742583889285200627e+01 8.754633246030623539e+00 8.702700009857904817e+00 8.432021830334939239e+00 7.035267261943513262e+00
1.654964458706200459e+00 1.537000000000000000e+03 2.660773142014464909e+00 1.590155317231461929e+01 7.922188209044115581e+00 7.873687170571350258e+00 7.621022193511334031e+00 6.316553752901947760e+00
1.761684072977645732e+00 1.653000000000000000e+03 2.391106954140494789e+00 1.454574286095349933e+01 7.206640003854803744e+00 7.161515032319758944e+00 6.926531459270785618e+00 5.711108261212972437e+00
1.868623895441072547e+00 1.963000000000000000e+03 2.181324516699441496e+00 1.360142054933110423e+01 6.691992014742178974e+00 6.649184390845180204e+00 6.426350690140298916e+00 5.268045757564381759e+00
1.975824600884029669e+00 2.121000000000000000e+03 1.908879823597789960e+00 1.235293867326336148e+01 6.010720178377520817e+00 5.971287010046166799e+00 5.766121745887616612e+00 4.681800646561369739e+00
2.083297606274093550e+00 2.413000000000000000e+03 1.763603561928298147e+00 1.154777846339017344e+01 5.599659376030553304e+00 5.562583036736934439e+00 5.369767356847692241e+00 4.346578695871487596e+00
2.190806389353336936e+00 2.635000000000000000e+03 1.641840717106622272e+00 1.127158501514497857e+01 5.399186694384300544e+00 5.362210093690655377e+00 5.169989517369571352e+00 4.141823390025931140e+00
2.297525113723676959e+00 2.877000000000000000e+03 1.511851190701291703e+00 1.049497725298230577e+01 5.010099118121332573e+00 4.975057249195045550e+00 4.793008902361208357e+00 3.823784517516082282e+00
2.403844122767996527e+00 3.169000000000000000e+03 1.375915249774966931e+00 9.844816843986832211e+00 4.666260364771293467e+00 4.632635067124162731e+00 4.458034743908040554e+00 3.533061926611465786e+00
2.511414911497361846e+00 3.507000000000000000e+03 1.298395447614730580e+00 9.533425971817615974e+00 4.486252126798380147e+00 4.453252085211379274e+00 4.281991405658243544e+00 3.369132380273602401e+00
2.618215287650212719e+00 3.685000000000000000e+03 1.227361140515524918e+00 9.179729181461427245e+00 4.298871148113328822e+00 4.266462269836531540e+00 4.098354710856415117e+00 3.206621917042165482e+00
2.725119467431119435e+00 4.165000000000000000e+03 1.186927457183922785e+00 9.079891932423851841e+00 4.230024774400473753e+00 4.197582030885338433e+00 4.029345578361956726e+00 3.137134191160462215e+00
2.832944963321792464e+00 4.377000000000000000e+03 1.091482011496307081e+00 8.667652642997603962e+00 3.993022092474362239e+00 3.962112139552527612e+00 3.801874892153170205e+00 2.927506031203411130e+00
2.940550585514471127e+00 4.855000000000000000e+03 1.039565155670058472e+00 8.480957210141136571e+00 3.882731347300776292e+00 3.852478735195199455e+00 3.695687816470840659e+00 2.830812076737646787e+00
3.047075274303125525e+00 4.929000000000000000e+03 9.661587514323484172e-01 8.069863042094251426e+00 3.668489093760760156e+00 3.639558500522219298e+00 3.489684726330938958e+00 2.651976326511206405e+00
3.153632156805153741e+00 5.581000000000000000e+03 9.226596500624748565e-01 7.805573388362454956e+00 3.534922548764571903e+00 3.506987046027040034e+00 3.362306639024307042e+00 2.545181959976718034e+00
3.259958553874163112e+00 5.679000000000000000e+03 8.557933159376981402e-01 7.357899779542291796e+00 3.318498756827263918e+00 3.291907831945484642e+00 3.154269853133564450e+00 2.376151342841126279e+00
3.367357499753221628e+00 6.385000000000000000e+03 8.343460159187054970e-01 7.352402289094417398e+00 3.295900922092755092e+00 3.269299014553050942e+00 3.131629174518015368e+00 2.344760326048116461e+00
3.474696492921901747e+00 6.553000000000000000e+03 7.742131393219071622e-01 7.022841185110253903e+00 3.125575900524198314e+00 3.099873010366768433e+00 2.966927618426888902e+00 2.202961573411677421e+00
3.581956660963620198e+00 7.125000000000000000e+03 7.380309974888450419e-01 6.794433801400877826e+00 3.009649968498851802e+00 2.984779922189711332e+00 2.856183232454096110e+00 2.108600301608316574e+00
3.689163779191058534e+00 7.447000000000000000e+03 7.040913146024028180e-01 6.622190338543906485e+00 2.916388849824731899e+00 2.892405724169221148e+00 2.768437376745141343e+00 2.032482167985749211e+00
3.796064726937468770e+00 7.929000000000000000e+03 6.712365919898786171e-01 6.426481997100287558e+00 2.818097493921229102e+00 2.794672797004095433e+00 2.673661549326723286e+00 1.952836127083800610e+00
3.903185594229741096e+00 8.353000000000000000e+03 6.416189222987088714e-01 6.333927240077883880e+00 2.753624059865042106e+00 2.730804175245523435e+00 2.612934829226478239e+00 1.890767281552347745e+00
4.009628416058343525e+00 8.775000000000000000e+03 6.105282128040563361e-01 6.052538710330961358e+00 2.626844534406271858e+00 2.605142180944210573e+00 2.493112286579717729e+00 1.800645719174762016e+00
4.116492766962148053e+00 9.313000000000000000e+03 5.823853920194724809e-01 5.912436373576539062e+00 2.548667645278278826e+00 2.527604442819232577e+00 2.418951578004396641e+00 1.733433451590129293e+00
4.223658256356446650e+00 9.841000000000000000e+03 5.642559997446722209e-01 5.857039171048509019e+00 2.509523772365246597e+00 2.489010525797921591e+00 2.383207510420883413e+00 1.697702204543595883e+00
4.330295565235207533e+00 1.019100000000000000e+04 5.314551555585919074e-01 5.627387784426057138e+00 2.397822927589877917e+00 2.378142735038928812e+00 2.276731448721533990e+00 1.610688525968182905e+00
4.437284061691221027e+00 1.089700000000000000e+04 5.119622446374841873e-01 5.580848970408707643e+00 2.359341554938819918e+00 2.340196827755176567e+00 2.241585365178295319e+00 1.572677650790101245e+00
4.544410671757686870e+00 1.130100000000000000e+04 4.909050168409924142e-01 5.450597404364536658e+00 2.292106893080665397e+00 2.273606694068059042e+00 2.178371100999698662e+00 1.518968513128080344e+00
